分類,チェック,単語,意味,補足,,,
,TRUE,keynote,基本基調,,,,
toeic,TRUE,kiosk,"ちょっとした（売り場）コーナー
a small building where things such as chocolate, drinks, or newspapers are sold through an open window:",,,,
,TRUE,landscaping,造園,,,,
,TRUE,lane,通り,,,,
,TRUE,lawn,芝生,,,,
,TRUE,legible,判読可能な,,,,
,TRUE,legislation,法律,,,,
,TRUE,letter to the editor,投書,,,,
,TRUE,liability,"the fact that someone is legally responsible for something
責任",,,,
,TRUE,liability waiver,免責同意書,,,,
,TRUE,local authority,地方自治体,,,,
,TRUE,look into,調査する,,,,
,TRUE,loose,緩んだ,,,,loose wire
,FALSE,imminent,差し迫った,"in 上に mineo 付き出ている 差し掛かっていること
eminent 著名な
prominent 卓越した",,,
,FALSE,in accordance with,に応じて,,,,
,TRUE,make it to,に出席できる,,,,
,TRUE,mandatory,義務的な、必須な,,,,
,TRUE,marble,大理石の,,,,
,TRUE,mark,染み,,,,
,TRUE,may well do ...,するのももっともだ,,,,
,TRUE,meterologist,気象学者,,,,
,TRUE,meticulously,細心の注意を払って,,,,
,TRUE,mill,製粉所,,,,
,TRUE,mingle,"パーティなどで会話をする
混ぜる",,,,
,FALSE,incline,to (make someone) feel something or want to do something,The prime minister is believed to be inclining towards an April election,,,
,TRUE,noteworthy,"注目に値する
deserving attention because of being important or interesting",,,,
難,TRUE,notorious,悪名高い,,,,
難,TRUE,nuisance,やっかいもの,,,,
,FALSE,inconceivable,impossible to imagine or think of,,,,
,TRUE,nutrition,栄養学,,,,
難,TRUE,objectionable,不快な 反対な,,,,
難,FALSE,interoperable,再利用可能な,,,,
,TRUE,on hold,保留にして,,,,
,TRUE,on the fly,"その場で,急いで,臨機応変に",,,,
,TRUE,interpret,説明する,,,,
,TRUE,lure,引き寄せる,,,,
,TRUE,orchard,"an area of land where fruit trees
grove",an apple/cherry orchard,,,
,TRUE,out of service,使用中止になって,,,,
,TRUE,outreach,遠くへ届ける、布教,,,,
,TRUE,oversees,監視する,,,,
,TRUE,past,過ぎて,,,,
,TRUE,patent,the official legal right to make or sell an invention for a particular number of years,,,,
,TRUE,patron,後援者,,,,
,TRUE,patronage,愛顧,,,,
,FALSE,"make it point to 
make a point of doing","するようにしている、強調する
","She always makes a point of inviting all her staff to briefing meetings
",,,
,TRUE,perishable,傷みやすい,,,,
,TRUE,personnel,全職員、人事,,personal,,
,TRUE,pessimistic,悲観的な,,,,
難,FALSE,moving forward with,推進している,,,,
,TRUE,photocopy,コピーする,,,,
,FALSE,nursery,"苗床,子ども部屋
a place where young children and babies are taken care of while their parents are at work",,,,
,FALSE,officiate,指揮を執り行う,,,,
,TRUE,poised,用意ができて,poised to do まさにしそうだ,,,
,TRUE,postpone,先延ばしにする,,,,
,TRUE,predecessor,前任者,,,,
,TRUE,premire,初回の,,,,
,TRUE,prescription,a piece of paper on which a doctor writes the details of the medicine or drugs that someone needs,,,,
,FALSE,on top of,"加えて、うまくこなしている
","I finally finished writing my essay. On top of that, I cleaned the house today.",,,
,TRUE,president,会長,,pre 前に sident sed 座る,,
,TRUE,primate,霊長類の動物,,,,
,TRUE,probation,保護観察期間,,,,
,TRUE,processing plant,処理工場,,,,
,FALSE,opaque,"preventing light from travelling through, and therefore not transparent or translucent","travelling through 通過する
translucent 半透明な",,,
,TRUE,project,to calculate an amount or number expected in the future from information already known,,,,
,FALSE,peer,対等者、同僚,,,,
,TRUE,proof,校正刷り,,,,
,TRUE,propagate,伝播させる、繁殖する,,,,
,TRUE,property,不動産,an object or objects that belong to someone,,,
,TRUE,prorate,"割り当てする
to calculate a cost, payment, or price according to the amount of something that has been used, in relation to the fixed rate for a larger total amount:",The rental will be prorated if occupancy does not begin on the first day of the month,,,
,TRUE,prospective,見込みのある,,,,
,TRUE,prosposed,提案された,,,,
,FALSE,petition,"a document signed by a large number of people demanding or asking for some action from the government or another authority
申し立て",,,,
,TRUE,provisionaly,in a way that is true for the present time but could change,,,,
,TRUE,publicity,"the activity of making certain that someone or something attracts a lot of interest or attention from many people
attention",,,,
,TRUE,publicize,宣伝する,,publicity:宣伝,,
,TRUE,purveyour,(食料品などの)調達者,,,,
,TRUE,push everything else aside,わきに追いやる,,,,
,TRUE,put the finishing touches on,最後の仕上げをする,,,,
,FALSE,piqued,腹を立てる,,,,
,TRUE,realtor,不動産仲介業者,,,,
,TRUE,recession,景気後退,,,,
,TRUE,recognition,評価,,,,
,TRUE,recount,述べる,,,,
,TRUE,redeemable,換金可能な,,,,
,TRUE,referral,紹介,,,,
,TRUE,refurbish,"to make a building look new again by doing work such as painting, repairing, and cleaning
revamp, renovate",The developers refurbished the house inside and out.,,,
,TRUE,reimbursement,返済,,,,
,TRUE,reliability,信頼性,"reliale 信頼できる形容詞
reliablity 信頼性名詞
reliably 信頼すべき筋から副詞",,,
,TRUE,rent out ,貸し出す,,,,
,TRUE,report directly to,に直属する,,,,
,TRUE,report to ,出勤する、管理下になる,,,,
,TRUE,resemble,似ている,,,,
,TRUE,residence,住宅,,,,
,TRUE,responsibility,責任,"responsibility 責任 名詞
responsibly 責任をもって　副詞
responsibleness 責任があること
responsible 責任がある 形容詞",,,
,TRUE,revamp,改良する,,,,
,TRUE,revise,見直す,,,,
,FALSE,pledge,"誓約
a serious or formal promise, especially one to give money or to be a friend, or something that you give as a sign that you will keep a promise",,,,
,TRUE,rigorous,厳格な,,,,
,FALSE,preservative,保存料,no artificial flavoring or preservatives,,,
,TRUE,rize through the ranks,出世の階段をのぼる,,,,
,TRUE,rocky,"障害のある
made of rock and therefore usually rough and difficult to travel along",,,,
,TRUE,rug,敷物,,,,
難,TRUE,run an errand for,の使い走りをする,,,,
,TRUE,run out of,無くなる,,,,
,TRUE,save money,to save money for a time when it might be needed unexpectedly,,,,
,TRUE,seagoing,船舶の,,,,
,TRUE,serve as,務める,,,,
,TRUE,set in,はじまる　begin,,,,
,TRUE,sharpen,砥ぐ、研ぐ,,,,
,TRUE,profile,"the amount of public attention and notice that something receives
認知",,,,
,TRUE,shortage,不足名詞,"short 短い　形容詞
shortage 不足 名詞",,,
,FALSE,proliferation,"the fact of something increasing a lot and suddenly in number or amount
急増",,,,
,TRUE,sodium,ナトリウム,,,,
,TRUE,soil,土壌,,,,
,TRUE,solicit,求める,,,,
,TRUE,sorting machinery,分別装置,,,these may get caught in the sorting machinery at the processing plant,
難,TRUE,spotless,非の打ち所ない,spot 点、染み,,,
,TRUE,stagnant,停滞気味な,,,,
,TRUE,stain,汚れ,,,,
,TRUE,stand out,際立つ,,,,
,TRUE,state-mandated,州で義務付けられている,,,,
,TRUE,stay out of something,to not become involved in an argument or discussion:,It's better to stay out of their arguments.,,,
,FALSE,provincial,"a person who comes from somewhere in a country outside its capital city
地方の","The majority of young professionals in the capital have moved there from provincial towns.
",,,
,TRUE,stoplight,交通信号,,,,
,TRUE,street corner,街角,,,,
,FALSE,quantitative ,relating to numbers or amounts:,"quantitative analysis
定量的評価",,,
,TRUE,strong,説得力のある,persuasive,,,
,TRUE,sturdy,頑丈な,,,,
,TRUE,suite,"号室
a set of connected rooms, especially in a hotel",SET OF ROOMS,,,
,TRUE,supplementary,"extra, spare, surplus, odd",,,,
,TRUE,surname,"姓
the name that you share with other members of your family",,,,
,TRUE,surpass,超える,,,,
,TRUE,surplus,余剰,,,,
,TRUE,swell,膨れる,,,,
,TRUE,synthetic,人口の、合成の,,,,
,TRUE,tailoring,洋服仕立て業,,,,
,TRUE,talk/walk~through,一通り説明する,,,,
,TRUE,tarp,防水シート,,,,
,TRUE,tear,破れる、涙,,wear and tear,tore、torn,
,TRUE,tensely,in a worried or nervous way,They all waited tensely for the verdict.,,,
,TRUE,texture,"the quality of something that can be decided by touch, for example whether it is rough or smooth, or soft or hard:",,,,
,TRUE,thrive,成長する,,,,
,TRUE,time off ,休暇,,,,
,TRUE,time off from,休むこと,,,,
,TRUE,tolerant ,寛容な,,,,
,TRUE,top,上回る,,,,
,TRUE,top-notch,最高の,,,,
,FALSE,rewards card,ポイントカード,,,,
,TRUE,trade show,展示会,,,,
,TRUE,transferr,移す,,,,
,FALSE,ring up ,会計をする,,,,
,TRUE,unparalleled,並ぶものない、優れている,,,,
,TRUE,upstairs,2階の,,,,
,TRUE,ventilation,喚起、風通し,,,,
,TRUE,verbose,言葉数の多い,,,,
難,TRUE,veterinarian,獣医師,,,,
,TRUE,vibrant,"energetic, exciting, and full of enthusiasm:
鮮やかな",,,,
,TRUE,vocal proponent,"支援者？
vocal: relating to or produced by the voice, either in singing
propnent: a person who speaks publicly in support of a particular idea or plan of action",proponent pro 前に  pone 置く,,,
,TRUE,voicemail,留守番電話,,,,
,TRUE,voluntary,自発的な,,,,
,TRUE,waive,差し控える、放棄する,,,,
,TRUE,wardrobe,持ち衣装,,,,
,FALSE,shingle,屋根板,,,,
,TRUE,wear and tear,摩擦、すり減り,,,,
toeic,FALSE,skylight,"天窓
a window built into a roof to allow light in","Putting in a skylight made the attic seem big and bright
attic 屋根裏
the space or room at the top of a building, under the roof, often used for storing things",,,
,TRUE,zoning,"区域分け
the act of deciding, or the decision that has been taken about, what particular use an area should have",,,,
,FALSE,sleeve,袖,,,,
,FALSE,step down,辞任する,,,,
,FALSE,stroke of luck,思いがけない幸運,,,,
,FALSE,superintendent,管理者,,,,
,FALSE,tow,レッカー車で撤去する,,,,
,FALSE,turmoil,"騒動、混乱
a state of confusion, uncertainty, or disorder",,,,
,FALSE,usher,案内係,,,,
,TRUE,wax,ろう,,,,
,FALSE,withhold from ,控える,,,,
,FALSE,memoir,"体験記
a book or other piece of writing based on the writer's personal knowledge of famous people, places, or events",,,,
,FALSE,dull,not interesting or exciting in any way,,,,
,FALSE,nondescript,"very ordinary, or having no interesting or exciting features or qualities
特徴のない",,,,
,FALSE,rapids,a dangerous part of a river that flows very fast because it is steep and sometimes narrow,,,,
,FALSE,lull,"to cause someone to feel calm or to feel that they want to sleep
眠気を催させる",,,,
,FALSE,thermal geyser,間欠泉,,,,
,FALSE,compliant ,willing to do what other people want you to do:,,,,
,FALSE,fleet,"a group of ships, or all of the ships in a country's navy
全航空機、全船舶",,,,
,FALSE,preventive,intended to stop something before it happens,,,,
,FALSE,electric circuit,電子回路,,,,
,FALSE,tender,柔らかい,,,,
,FALSE,germ,"a very small organism that causes disease
ばい菌",,,,
,FALSE,blowfish,ふぐ,,,,
,FALSE,prank,いたずら,,,,
,FALSE,tie up,ひとり占めにする、縛る,,,,
,FALSE,impeccable,"perfect, with no problems or bad parts",,,,
,FALSE,windproof,防風の,,,,
,FALSE,heatstroke,熱中症,,,,
